TF	file_id	exp_id	psam_id
ARID3A	ENCFF002CVL	ENCSR000EFY	001
ARID3A	ENCFF002CVL	ENCSR000EFY	002
ARID3A	ENCFF002CVL	ENCSR000EFY	003
ARID3A	ENCFF002CVL	ENCSR000EFY	004
ARID3A	ENCFF835KAT	ENCSR000EFY	001
ARID3A	ENCFF835KAT	ENCSR000EFY	002
ARID3A	ENCFF835KAT	ENCSR000EFY	003
ARID3A	ENCFF835KAT	ENCSR000EFY	004
ARNT	ENCFF471ZTZ	ENCSR613NUC	001
ARNT	ENCFF471ZTZ	ENCSR613NUC	002
ARNT	ENCFF507MGL	ENCSR155KHM	001
ARNT	ENCFF507MGL	ENCSR155KHM	002
ARNT	ENCFF944GZI	ENCSR669NFS	001
ARNT	ENCFF944GZI	ENCSR669NFS	002
ATF1	ENCFF030HWZ	ENCSR159OCC	001
ATF1	ENCFF030HWZ	ENCSR159OCC	002
ATF1	ENCFF232KAH	ENCSR091GVJ	001
ATF1	ENCFF232KAH	ENCSR091GVJ	002
ATF3	ENCFF002CLN	ENCSR000BNU	001
ATF3	ENCFF228PSB	ENCSR632DCH	001
ATF3	ENCFF475TQE	ENCSR000BNU	001
ATF3	ENCFF958KNK	ENCSR028UIU	001
ATF4	ENCFF710IEF	ENCSR145TSJ	001
ATF4	ENCFF710IEF	ENCSR145TSJ	002
BHLHE40	ENCFF002CVQ	ENCSR000EGV	001
BHLHE40	ENCFF002CVQ	ENCSR000EGV	002
BHLHE40	ENCFF179NDS	ENCSR000EGV	001
BHLHE40	ENCFF179NDS	ENCSR000EGV	002
CDC5L	ENCFF643TEZ	ENCSR121PFY	001
CEBPB	ENCFF002CLR	ENCSR000BRQ	001
CEBPB	ENCFF002CLR	ENCSR000BRQ	002
CEBPB	ENCFF002CLR	ENCSR000BRQ	003
CEBPB	ENCFF002CLR	ENCSR000BRQ	004
CEBPB	ENCFF002CLR	ENCSR000BRQ	005
CEBPB	ENCFF002CVV	ENCSR000EHE	001
CEBPB	ENCFF002CVV	ENCSR000EHE	002
CEBPB	ENCFF002CVV	ENCSR000EHE	003
CEBPB	ENCFF002CVV	ENCSR000EHE	004
CEBPB	ENCFF002CVV	ENCSR000EHE	005
CEBPB	ENCFF429XKT	ENCSR000EHE	001
CEBPB	ENCFF429XKT	ENCSR000EHE	002
CEBPB	ENCFF429XKT	ENCSR000EHE	003
CEBPB	ENCFF429XKT	ENCSR000EHE	004
CEBPB	ENCFF429XKT	ENCSR000EHE	005
CEBPB	ENCFF828JWK	ENCSR416QLJ	001
CEBPB	ENCFF828JWK	ENCSR416QLJ	002
CEBPB	ENCFF828JWK	ENCSR416QLJ	003
CEBPB	ENCFF828JWK	ENCSR416QLJ	004
CEBPB	ENCFF828JWK	ENCSR416QLJ	005
CEBPG	ENCFF272ULO	ENCSR490LWA	001
CEBPG	ENCFF272ULO	ENCSR490LWA	002
CEBPG	ENCFF272ULO	ENCSR490LWA	003
CEBPG	ENCFF606CCB	ENCSR620VIC	001
CEBPG	ENCFF606CCB	ENCSR620VIC	002
CEBPG	ENCFF606CCB	ENCSR620VIC	003
CREB3	ENCFF665FHC	ENCSR093FKD	001
CREB3	ENCFF665FHC	ENCSR093FKD	002
CREB3L1	ENCFF582YPB	ENCSR109YGM	001
CREB3L1	ENCFF582YPB	ENCSR109YGM	002
CREB3L1	ENCFF582YPB	ENCSR109YGM	003
CREB3L1	ENCFF582YPB	ENCSR109YGM	004
CREB3L1	ENCFF582YPB	ENCSR109YGM	005
CREB3L1	ENCFF582YPB	ENCSR109YGM	006
CREB3L1	ENCFF708GFU	ENCSR109YGM	001
CREB3L1	ENCFF708GFU	ENCSR109YGM	002
CREB3L1	ENCFF708GFU	ENCSR109YGM	003
CREB3L1	ENCFF708GFU	ENCSR109YGM	004
CREB3L1	ENCFF708GFU	ENCSR109YGM	005
CREB3L1	ENCFF708GFU	ENCSR109YGM	006
CREM	ENCFF948TXN	ENCSR077DKV	001
CTCF	ENCFF002CEL	ENCSR000AKO	001
CTCF	ENCFF002CEL	ENCSR000AKO	003
CTCF	ENCFF002CEL	ENCSR000AKO	004
CTCF	ENCFF002CLS	ENCSR000BPJ	001
CTCF	ENCFF002CLS	ENCSR000BPJ	003
CTCF	ENCFF002CLS	ENCSR000BPJ	004
CTCF	ENCFF002CWL	ENCSR000EGM	001
CTCF	ENCFF002CWL	ENCSR000EGM	003
CTCF	ENCFF002CWL	ENCSR000EGM	004
CTCF	ENCFF002DBD	ENCSR000DMA	001
CTCF	ENCFF002DBD	ENCSR000DMA	003
CTCF	ENCFF002DBD	ENCSR000DMA	004
CTCF	ENCFF002DDJ	ENCSR000DWE	001
CTCF	ENCFF002DDJ	ENCSR000DWE	003
CTCF	ENCFF002DDJ	ENCSR000DWE	004
CTCF	ENCFF085HTY	ENCSR000BPJ	001
CTCF	ENCFF085HTY	ENCSR000BPJ	003
CTCF	ENCFF085HTY	ENCSR000BPJ	004
CTCF	ENCFF738TKN	ENCSR000EGM	001
CTCF	ENCFF738TKN	ENCSR000EGM	003
CTCF	ENCFF738TKN	ENCSR000EGM	004
CUX1	ENCFF517YCC	ENCSR000EFO	001
CUX1	ENCFF517YCC	ENCSR000EFO	002
CUX1	ENCFF517YCC	ENCSR000EFO	003
CUX1	ENCFF517YCC	ENCSR000EFO	004
CUX1	ENCFF517YCC	ENCSR000EFO	005
CUX1	ENCFF517YCC	ENCSR000EFO	006
CUX1	ENCFF695CPH	ENCSR178NTX	001
CUX1	ENCFF695CPH	ENCSR178NTX	002
CUX1	ENCFF695CPH	ENCSR178NTX	003
CUX1	ENCFF695CPH	ENCSR178NTX	004
CUX1	ENCFF695CPH	ENCSR178NTX	005
CUX1	ENCFF695CPH	ENCSR178NTX	006
E2F1	ENCFF106DAY	ENCSR720HUL	001
E2F1	ENCFF106DAY	ENCSR720HUL	002
E2F1	ENCFF106DAY	ENCSR720HUL	003
E2F1	ENCFF106DAY	ENCSR720HUL	004
E2F1	ENCFF106DAY	ENCSR720HUL	005
E2F1	ENCFF106DAY	ENCSR720HUL	006
E2F1	ENCFF106DAY	ENCSR720HUL	007
E2F1	ENCFF352HGW	ENCSR720HUL	001
E2F1	ENCFF352HGW	ENCSR720HUL	002
E2F1	ENCFF352HGW	ENCSR720HUL	003
E2F1	ENCFF352HGW	ENCSR720HUL	004
E2F1	ENCFF352HGW	ENCSR720HUL	005
E2F1	ENCFF352HGW	ENCSR720HUL	006
E2F1	ENCFF352HGW	ENCSR720HUL	007
E2F1	ENCFF998YJY	ENCSR563LLO	001
E2F1	ENCFF998YJY	ENCSR563LLO	002
E2F1	ENCFF998YJY	ENCSR563LLO	003
E2F1	ENCFF998YJY	ENCSR563LLO	004
E2F1	ENCFF998YJY	ENCSR563LLO	005
E2F1	ENCFF998YJY	ENCSR563LLO	006
E2F1	ENCFF998YJY	ENCSR563LLO	007
E2F4	ENCFF002CWM	ENCSR000EWL	001
E2F4	ENCFF002CWM	ENCSR000EWL	002
E2F4	ENCFF002CWM	ENCSR000EWL	003
E2F4	ENCFF002CWM	ENCSR000EWL	004
E2F5	ENCFF356ASJ	ENCSR709DRM	001
E2F6	ENCFF002CLU	ENCSR000BLI	001
E2F6	ENCFF002CLU	ENCSR000BLI	002
E2F6	ENCFF002CWN	ENCSR000EWJ	001
E2F6	ENCFF002CWN	ENCSR000EWJ	002
E2F6	ENCFF917COW	ENCSR000BLI	001
E2F6	ENCFF917COW	ENCSR000BLI	002
E2F7	ENCFF310AGG	ENCSR171CAY	002
E2F8	ENCFF925DJG	ENCSR953DVM	001
EGR1	ENCFF002CLV	ENCSR000BNE	001
EGR1	ENCFF002CLV	ENCSR000BNE	002
EGR1	ENCFF002CLV	ENCSR000BNE	003
EGR1	ENCFF002CLV	ENCSR000BNE	004
EGR1	ENCFF002CLV	ENCSR000BNE	005
EGR1	ENCFF002CLV	ENCSR000BNE	006
EGR1	ENCFF002CLV	ENCSR000BNE	007
EGR1	ENCFF004WYV	ENCSR211LTF	001
EGR1	ENCFF004WYV	ENCSR211LTF	002
EGR1	ENCFF004WYV	ENCSR211LTF	003
EGR1	ENCFF004WYV	ENCSR211LTF	004
EGR1	ENCFF004WYV	ENCSR211LTF	005
EGR1	ENCFF004WYV	ENCSR211LTF	006
EGR1	ENCFF004WYV	ENCSR211LTF	007
EGR1	ENCFF182QDI	ENCSR000BNE	001
EGR1	ENCFF182QDI	ENCSR000BNE	002
EGR1	ENCFF182QDI	ENCSR000BNE	003
EGR1	ENCFF182QDI	ENCSR000BNE	004
EGR1	ENCFF182QDI	ENCSR000BNE	005
EGR1	ENCFF182QDI	ENCSR000BNE	006
EGR1	ENCFF182QDI	ENCSR000BNE	007
EGR1	ENCFF558JBX	ENCSR024CNP	001
EGR1	ENCFF558JBX	ENCSR024CNP	002
EGR1	ENCFF558JBX	ENCSR024CNP	003
EGR1	ENCFF558JBX	ENCSR024CNP	004
EGR1	ENCFF558JBX	ENCSR024CNP	005
EGR1	ENCFF558JBX	ENCSR024CNP	006
EGR1	ENCFF558JBX	ENCSR024CNP	007
ELF1	ENCFF002CLW	ENCSR000BMD	001
ELF1	ENCFF002CLW	ENCSR000BMD	002
ELF1	ENCFF002CLW	ENCSR000BMD	003
ELF1	ENCFF002CLW	ENCSR000BMD	004
ELF1	ENCFF002CLW	ENCSR000BMD	005
ELF1	ENCFF392MUM	ENCSR502OEK	001
ELF1	ENCFF392MUM	ENCSR502OEK	002
ELF1	ENCFF392MUM	ENCSR502OEK	003
ELF1	ENCFF392MUM	ENCSR502OEK	004
ELF1	ENCFF392MUM	ENCSR502OEK	005
ELF1	ENCFF526EEI	ENCSR975SSR	001
ELF1	ENCFF526EEI	ENCSR975SSR	002
ELF1	ENCFF526EEI	ENCSR975SSR	003
ELF1	ENCFF526EEI	ENCSR975SSR	004
ELF1	ENCFF526EEI	ENCSR975SSR	005
ELF1	ENCFF564WEB	ENCSR000BMD	001
ELF1	ENCFF564WEB	ENCSR000BMD	002
ELF1	ENCFF564WEB	ENCSR000BMD	003
ELF1	ENCFF564WEB	ENCSR000BMD	004
ELF1	ENCFF564WEB	ENCSR000BMD	005
ELF4	ENCFF502KHR	ENCSR638QHV	001
ELF4	ENCFF502KHR	ENCSR638QHV	002
ELK1	ENCFF002CWO	ENCSR000EFU	001
ELK1	ENCFF002CWO	ENCSR000EFU	002
ELK1	ENCFF002CWO	ENCSR000EFU	003
ELK1	ENCFF002CWO	ENCSR000EFU	004
ELK1	ENCFF002CWO	ENCSR000EFU	005
ELK1	ENCFF002CWO	ENCSR000EFU	006
ELK1	ENCFF002CWO	ENCSR000EFU	007
ELK1	ENCFF019PEL	ENCSR000EFU	001
ELK1	ENCFF019PEL	ENCSR000EFU	002
ELK1	ENCFF019PEL	ENCSR000EFU	003
ELK1	ENCFF019PEL	ENCSR000EFU	004
ELK1	ENCFF019PEL	ENCSR000EFU	005
ELK1	ENCFF019PEL	ENCSR000EFU	006
ELK1	ENCFF019PEL	ENCSR000EFU	007
ESRRA	ENCFF213EPU	ENCSR486IFJ	001
ESRRA	ENCFF213EPU	ENCSR486IFJ	004
ESRRA	ENCFF213EPU	ENCSR486IFJ	005
ESRRA	ENCFF213EPU	ENCSR486IFJ	006
ESRRA	ENCFF213EPU	ENCSR486IFJ	007
ESRRA	ENCFF213EPU	ENCSR486IFJ	008
ESRRA	ENCFF213EPU	ENCSR486IFJ	009
ESRRA	ENCFF213EPU	ENCSR486IFJ	010
ESRRA	ENCFF213EPU	ENCSR486IFJ	011
ESRRA	ENCFF213EPU	ENCSR486IFJ	012
ESRRA	ENCFF213EPU	ENCSR486IFJ	013
ESRRA	ENCFF602OKQ	ENCSR486IFJ	001
ESRRA	ENCFF602OKQ	ENCSR486IFJ	004
ESRRA	ENCFF602OKQ	ENCSR486IFJ	005
ESRRA	ENCFF602OKQ	ENCSR486IFJ	006
ESRRA	ENCFF602OKQ	ENCSR486IFJ	007
ESRRA	ENCFF602OKQ	ENCSR486IFJ	008
ESRRA	ENCFF602OKQ	ENCSR486IFJ	009
ESRRA	ENCFF602OKQ	ENCSR486IFJ	010
ESRRA	ENCFF602OKQ	ENCSR486IFJ	011
ESRRA	ENCFF602OKQ	ENCSR486IFJ	012
